4 1 5.
1 4 1.
3 4 4.
6 4 4.
4 5 5.
4 6 4.
5 7 1.
5 7 2.
5 9 5.
2 11 1.
2 12 3.
4 12 1.
5 13 2.
6 15 5.
3 17 2.
2 18 4.
1 19 1.
5 19 5.
5 21 1.
1 22 4.
1 24 2.
4 24 4.
6 24 2.
5 25 1.
4 26 3.
3 27 4.
1 28 1.
6 28 5.
1 30 3.
4 30 1.
3 31 1.
4 31 3.
4 32 1.
2 33 2.
1 35 4.
3 36 2.
6 38 4.
2 39 5.
2 39 5.
3 39 4.
2 40 3.
6 40 3.
6 43 5.
4 44 5.
6 44 4.
4 46 2.
4 47 5.
6 47 5.
1 51 4.
4 51 5.
6 52 2.
5 56 3.
6 56 3.
3 57 5.
1 59 2.
4 60 5.
4 60 2.
5 60 2.
1 61 5.
6 61 3.
1 62 2.
6 63 5.
2 66 5.
4 67 1.
2 68 4.
2 69 1.
2 70 3.
3 70 5.
5 71 5.
3 72 1.
4 73 4.
5 73 1.
3 76 1.
5 76 3.
6 76 5.
2 77 1.
6 78 4.
6 78 4.
